,artist.name,bars_start,beats_start,duration,end_of_fade_in,familiarity,key,key_confidence,loudness,mode,song.hotttnesss,start_of_fade_out,tatums_start,tempo,terms,time_signature,title,year
0,Casual,0.58521,0.58521,218.93178999999998,0.247,0.581793766,1.0,0.736,-11.197000000000001,0,0.60211999,218.93200000000002,0.28519,92.198,hip-hop,4.0,I Didnt Mean To,0
1,The Box Tops,0.71054,0.20626999999999998,148.03546,0.14800000000000002,0.630630038,6.0,0.16899999999999998,-9.843,0,,137.915,0.20626999999999998,121.274,soul,4.0,Soul Deep,1969
2,Sonora Santanera,0.73152,0.73152,177.47546,0.282,0.487356791,8.0,0.643,-9.689,1,,172.304,0.42132,100.07,salsa,1.0,Amor De Cabaret,0
3,Adam Ant,1.30621,0.81002,233.40363,0.0,0.630382334,0.0,0.7509999999999999,-9.013,1,,217.12400000000002,0.5625399999999999,119.29299999999999,pop,4.0,Something Girls,1982
4,Gob,1.06368,0.13576,209.60608,0.066,0.651045661,2.0,0.092,-4.501,1,0.604500739,198.699,0.13576,129.738,punk,4.0,Face the Ashes,2007
5,Jeff And Sheri Easter,1.1711799999999999,0.74856,267.7024,2.2640000000000002,0.535292736,5.0,0.635,-9.323,1,,254.27,0.5392899999999999,147.782,gospel,3.0,The Moon And I (Ordinary Day Album Version),0
6,Rated R,0.27253,0.27253,114.78159,0.096,0.556495602,1.0,0.0,-17.302,1,,114.78200000000001,0.05611,111.787,breakbeat,1.0,Keepin It Real (Skit),0
7,Tweeterfriendly Music,0.65428,0.65428,189.57016000000002,0.319,0.8011364470000001,4.0,0.0,-11.642000000000001,0,,181.023,0.36129,101.43,metal,3.0,Drop of Rain,0
8,Planet P Project,1.9188599999999998,1.22595,269.81832,5.3,0.42666785700000004,4.0,0.7170000000000001,-13.495999999999999,1,0.26586104899999996,258.99,1.22595,86.64299999999999,new wave,4.0,Pink World,1984
9,Clp,0.62445,0.09933,266.39628,0.084,0.5505136979999999,7.0,0.053,-6.697,0,,261.747,0.09933,114.041,metal,4.0,Insatiable (Instrumental Version),0
10,JennyAnyKind,0.11194000000000001,0.11194000000000001,218.77506,2.125,0.36003116700000004,5.0,0.354,-10.021,0,0.0,207.012,0.11194000000000001,146.765,alternative,1.0,Young Boy Blues,0
11,Wayne Watson,1.45439,0.42896000000000006,245.21097999999998,0.35700000000000004,0.545159296,7.0,0.07,-7.545,1,0.26586104899999996,227.48,0.1727,117.975,ccm,4.0,The Urgency (LP Version),0
12,Andy Andy,1.2229,0.29639,226.35057,0.0,0.577508974,9.0,0.205,-6.632000000000001,1,0.0,221.553,0.06508,130.04,bachata,4.0,La Culpa,0
13,Bob Azzam,0.46223000000000003,0.46223000000000003,191.84281000000001,0.38,0.085512047,10.0,0.0,-7.75,0,0.0,188.424,0.23506,137.334,chanson,1.0,Auguri Cha Cha,0
14,Lionel Richie,0.82842,0.82842,307.3824,0.612,0.7766758559999999,3.0,0.524,-8.346,1,,296.658,0.58901,125.197,quiet storm,3.0,Tonight Will Be Alright,1986
15,Blue Rodeo,1.32118,0.30065,491.12771,0.0,0.636423645,7.0,1.0,-8.576,1,0.405115722,486.034,0.05047,119.82600000000001,country,4.0,Floating,1987
16,Richard Souther,1.19076,0.24795,228.5971,0.223,0.419943148,8.0,0.040999999999999995,-16.11,1,0.33470654899999996,217.426,0.08584,127.756,chill-out,5.0,High Tide,0
17,Faiz Ali Faiz,0.9066799999999999,0.27615,599.24853,1.193,0.363280571,6.0,0.06,-8.032,1,,591.999,0.12168,99.273,qawwali,4.0,Sohna Nee Sohna Data,0
18,Tesla,0.8752,0.05728,290.29832000000005,0.145,0.7071997640000001,7.0,0.725,-5.271,1,0.6841361909999999,285.605,0.05728,150.062,rock,4.0,Caught In A Dream,2004
19,lextrical,0.6682899999999999,0.22335,165.69423999999998,0.162,0.32031437,7.0,0.011000000000000001,-6.787000000000001,1,0.0,157.391,0.22335,138.33100000000002,indie,4.0,Synthetic Dream,0
20,Jimmy Wakely,0.12236,0.12236,151.84933999999998,2.827,0.39413854,1.0,0.799,-15.220999999999998,1,,146.19899999999998,0.12236,86.186,country,3.0,Broken-Down Merry-Go-Round,0
21,Alice Stuart,0.46253,0.46253,220.78649,0.20600000000000002,0.48981626899999997,11.0,0.809,-8.514,1,0.0,207.65599999999998,0.16228,110.382,blues,1.0,Kassie Jones,0
22,Elena,1.0693700000000002,0.5143399999999999,269.58322000000004,0.0,0.677420465,2.0,0.596,-8.05,1,0.313562114,256.168,0.5143399999999999,111.874,garage,4.0,Setanta matins,0
23,The Dillinger Escape Plan,1.0669799999999998,0.33578,207.77751,0.061,0.8399627679999999,7.0,0.381,-4.263999999999999,1,0.666527846,204.696,0.15349000000000002,166.862,metal,4.0,Setting Fire to Sleeping Giants,2004
24,SUE THOMPSON,0.70311,0.26705999999999996,124.86485,0.0,0.43541581799999995,10.0,0.6970000000000001,-12.332,1,0.495293621,115.74,0.04025,137.52200000000002,pop,4.0,James (Hold The Ladder Steady),1985
25,Five Bolt Main,0.08901,0.08901,225.09669,0.0,0.6090637,7.0,0.53,-5.9079999999999995,1,0.37598430200000005,225.097,0.08901,164.672,grunge,1.0,Made Like This (Live),0
26,Clp,0.9364299999999999,0.45716,338.31138,0.0,0.5505136979999999,6.0,0.687,-6.486000000000001,0,,338.311,0.21693,125.006,metal,4.0,Superconfidential,0
27,Tim Wilson,0.5264800000000001,0.5264800000000001,186.48771000000002,1.083,0.45979712899999997,5.0,0.762,-4.516,1,,175.467,0.07391,90.022,folk,1.0,I Think My Wife Is Running Around On Me (Taco Hell),2005
28,Willie Bobo,1.0196399999999999,0.06314,168.25423999999998,0.2,0.588827101,8.0,0.812,-9.616,1,,161.89,0.06314,127.025,jazz,4.0,Spanish Grease,1997
29,Faye Adams,0.97531,0.3393,156.39465,0.562,0.396455254,8.0,0.569,-18.051,1,0.0,150.634,0.3393,95.95700000000001,blues,3.0,Crazy Mixed Up World,1961
30,Terry Callier,0.9690799999999999,0.42073,342.56934,0.063,0.706827671,6.0,0.381,-11.939,1,0.413739836,333.154,0.13835999999999998,110.189,soul,3.0,Do You Finally Need A Friend,1972
31,John Wesley,0.56075,0.56075,484.62322,28.171999999999997,0.560557984,4.0,0.28300000000000003,-15.335,0,0.377531645,480.36300000000006,0.56075,138.007,disco,4.0,The Emperor Falls,0
32,The Shangri-Las,0.10131,0.10131,164.80608,0.0,0.640807102,10.0,0.254,-10.922,1,0.44329131200000005,156.17700000000002,0.10131,130.1,doo-wop,1.0,Twist and Shout,1964
33,Billie Jo Spears,0.24118,0.24118,133.32853,0.0,0.523714637,4.0,0.384,-9.982999999999999,1,0.0,130.009,0.048510000000000005,160.839,country,1.0,It Makes No Difference Now,1992
34,Mike Jones (Featuring CJ_ Mello & Lil Bran),0.40865999999999997,0.40865999999999997,173.66159,0.0,0.79360508,7.0,0.299,-7.7620000000000005,1,,164.908,0.051329999999999994,41.993,rap,1.0,Laws Patrolling (Album Version),0
35,Sierra Maestra,0.76895,0.09308999999999999,313.12934,0.0,0.501544777,9.0,0.7240000000000001,-9.512,1,,307.688,0.09308999999999999,189.646,charanga,3.0,A?DA3nde va Chichi?,1997
36,Butthole Surfers,0.2438,0.2438,450.84689000000003,0.467,0.809323793,4.0,0.726,-9.062999999999999,0,0.5939430760000001,426.10400000000004,0.09307,130.586,rock,4.0,Barking Dogs (From Piouhgd),0
37,Despina Vandi,0.10103999999999999,0.10103999999999999,303.09832,0.067,0.632559542,8.0,0.532,-8.879,0,,294.818,0.10103999999999999,128.292,pop,4.0,OUTE ENA EFHARISTO,0
38,Javier Navarrete,0.77461,0.77461,128.83546,0.0,0.5975412179999999,3.0,0.0,-17.699,1,0.394394856,121.42299999999999,0.77461,90.932,orchestra,3.0,Midnight Swim,0
39,Jacob Young,0.9204700000000001,0.23284000000000002,456.30649000000005,0.24100000000000002,0.49544592200000004,1.0,0.611,-19.477999999999998,1,0.0,451.315,0.06094,89.667,jazz,4.0,In A Subtle Way,0
40,Scarlets Remains,0.73465,0.28881,198.73914,0.0,0.527865076,7.0,0.6729999999999999,-7.468999999999999,1,0.450992312,193.016,0.14044,115.061,metal,4.0,Spin,2007
41,The Suicide Machines,0.90181,0.38075,95.68608,0.0,0.668674533,2.0,0.42100000000000004,-2.022,1,0.528782481,87.806,0.12215,115.887,punk,4.0,Burning In The Aftermath,2003
42,The Rolling Stones,0.15016,0.15016,271.49016,0.171,0.8148296559999999,9.0,0.301,-10.357999999999999,0,0.83449262,263.784,0.15016,139.333,blues,1.0,Angie (1993 Digital Remaster),0
43,Roberto Torres,0.86592,0.34973000000000004,226.66404,0.311,0.48235604299999996,0.0,0.863,-12.716,1,0.0,219.51,0.34973000000000004,117.271,salsa,4.0,Sabor Guajiro,0
44,Loudon Wainwright III,1.5666200000000001,0.37554,190.48443999999998,0.258,0.661080168,3.0,0.544,-15.663,1,0.510119314,177.02900000000002,0.37554,102.428,rock,4.0,Human Cannonball,1995
45,R.L. Burnside,0.9365899999999999,0.275,277.78567000000004,0.24,0.7011808740000001,2.0,0.0,-6.944,1,0.482137585,267.453,0.275,89.984,blues,4.0,Glory Be,2004
46,Stevie Ray Vaughan,0.7427699999999999,0.2077,248.78975,0.183,0.73379894,1.0,0.754,-7.805,1,,246.19,0.2077,116.721,blues,4.0,Crossfire,1992
47,John Hammond,0.32071,0.32071,195.3171,0.0,0.590692918,7.0,0.98,-10.7,1,,187.61700000000002,0.32071,123.14200000000001,blues,4.0,I Cant Be Satisfied,2002
48,Casiotone For The Painfully Alone,0.74575,0.32409,175.72526000000002,0.7340000000000001,0.665322162,0.0,0.522,-10.93,1,0.785892288,168.699,0.11431,141.91899999999998,hip-hop,4.0,Nashville Parthenon,2006
49,Ec8or,0.47086000000000006,0.47086000000000006,217.23382999999998,1.042,0.50407567,10.0,0.005,-9.493,0,,213.49599999999998,0.15342,95.596,metal,4.0,Cocain Ducks,1995
50,The New York Dolls,0.12284,0.12284,344.05832000000004,0.068,0.717670525,11.0,0.425,-9.253,1,0.561692411,335.029,0.12284,154.953,rock,1.0,Human Being,1974
51,Eliane Elias,2.9094599999999997,0.14772000000000002,251.42812,0.071,0.669726188,7.0,0.391,-12.009,1,0.43483809,237.59799999999998,0.14772000000000002,86.09100000000001,jazz,5.0,The More I See You,2009
