,artist.name,bars_start,beats_start,duration,end_of_fade_in,familiarity,key,key_confidence,loudness,mode,song.hotttnesss,start_of_fade_out,tatums_start,tempo,terms,time_signature,title,year
0,Casual,0.58521,0.58521,218.93179,0.247,0.581793766,1,0.736,-11.197,0,0.60211999,218.932,0.28519,92.198,hip-hop,4,I Didnt Mean To,0
1,The Box Tops,0.71054,0.20627,148.03546,0.148,0.630630038,6,0.169,-9.843,0,,137.915,0.20627,121.274,soul,4,Soul Deep,1969
2,Sonora Santanera,0.73152,0.73152,177.47546,0.282,0.487356791,8,0.643,-9.689,1,,172.304,0.42132,100.07,salsa,1,Amor De Cabaret,0
3,Adam Ant,1.30621,0.81002,233.40363,0,0.630382334,0,0.751,-9.013,1,,217.124,0.56254,119.293,pop,4,Something Girls,1982
4,Gob,1.06368,0.13576,209.60608,0.066,0.651045661,2,0.092,-4.501,1,0.604500739,198.699,0.13576,129.738,punk,4,Face the Ashes,2007
5,Jeff And Sheri Easter,1.17118,0.74856,267.7024,2.264,0.535292736,5,0.635,-9.323,1,,254.27,0.53929,147.782,gospel,3,The Moon And I (Ordinary Day Album Version),0
6,Tweeterfriendly Music,0.65428,0.65428,189.57016,0.319,0.801136447,4,0,-11.642,0,,181.023,0.36129,101.43,metal,3,Drop of Rain,0
7,Planet P Project,1.91886,1.22595,269.81832,5.3,0.426667857,4,0.717,-13.496,1,0.265861049,258.99,1.22595,86.643,new wave,4,Pink World,1984
8,Clp,0.62445,0.09933,266.39628,0.084,0.550513698,7,0.053,-6.697,0,,261.747,0.09933,114.041,metal,4,Insatiable (Instrumental Version),0
9,JennyAnyKind,0.11194,0.11194,218.77506,2.125,0.360031167,5,0.354,-10.021,0,0,207.012,0.11194,146.765,alternative,1,Young Boy Blues,0
10,Wayne Watson,1.45439,0.42896,245.21098,0.357,0.545159296,7,0.07,-7.545,1,0.265861049,227.48,0.1727,117.975,ccm,4,The Urgency (LP Version),0
11,Bob Azzam,0.46223,0.46223,191.84281,0.38,0.085512047,10,0,-7.75,0,0,188.424,0.23506,137.334,chanson,1,Auguri Cha Cha,0
12,Blue Rodeo,1.32118,0.30065,491.12771,0,0.636423645,7,1,-8.576,1,0.405115722,486.034,0.05047,119.826,country,4,Floating,1987
13,Richard Souther,1.19076,0.24795,228.5971,0.223,0.419943148,8,0.041,-16.11,1,0.334706549,217.426,0.08584,127.756,chill-out,5,High Tide,0
14,Tesla,0.8752,0.05728,290.29832,0.145,0.707199764,7,0.725,-5.271,1,0.684136191,285.605,0.05728,150.062,rock,4,Caught In A Dream,2004
15,lextrical,0.66829,0.22335,165.69424,0.162,0.32031437,7,0.011,-6.787,1,0,157.391,0.22335,138.331,indie,4,Synthetic Dream,0
16,Jimmy Wakely,0.12236,0.12236,151.84934,2.827,0.39413854,1,0.799,-15.221,1,,146.199,0.12236,86.186,country,3,Broken-Down Merry-Go-Round,0
17,Alice Stuart,0.46253,0.46253,220.78649,0.206,0.489816269,11,0.809,-8.514,1,0,207.656,0.16228,110.382,blues,1,Kassie Jones,0
18,The Dillinger Escape Plan,1.06698,0.33578,207.77751,0.061,0.839962768,7,0.381,-4.264,1,0.666527846,204.696,0.15349,166.862,metal,4,Setting Fire to Sleeping Giants,2004
19,SUE THOMPSON,0.70311,0.26706,124.86485,0,0.435415818,10,0.697,-12.332,1,0.495293621,115.74,0.04025,137.522,pop,4,James (Hold The Ladder Steady),1985
20,Five Bolt Main,0.08901,0.08901,225.09669,0,0.6090637,7,0.53,-5.908,1,0.375984302,225.097,0.08901,164.672,grunge,1,Made Like This (Live),0
21,Clp,0.93643,0.45716,338.31138,0,0.550513698,6,0.687,-6.486,0,,338.311,0.21693,125.006,metal,4,Superconfidential,0
22,Tim Wilson,0.52648,0.52648,186.48771,1.083,0.459797129,5,0.762,-4.516,1,,175.467,0.07391,90.022,folk,1,I Think My Wife Is Running Around On Me (Taco Hell),2005
23,Willie Bobo,1.01964,0.06314,168.25424,0.2,0.588827101,8,0.812,-9.616,1,,161.89,0.06314,127.025,jazz,4,Spanish Grease,1997
24,Faye Adams,0.97531,0.3393,156.39465,0.562,0.396455254,8,0.569,-18.051,1,0,150.634,0.3393,95.957,blues,3,Crazy Mixed Up World,1961
25,Terry Callier,0.96908,0.42073,342.56934,0.063,0.706827671,6,0.381,-11.939,1,0.413739836,333.154,0.13836,110.189,soul,3,Do You Finally Need A Friend,1972
